PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
3.5	0.1	0		0	0	220		0.5	-15.69	-0.69		22	-770	0		15.8	-765.18	0		6.2	-4.82	0
3.5	-0.2	0		0	0	20		0.12	-1.12	0		-4	-70	0		-2.53	-53.65	0		-1.47	-16.35	0
3.5	-0.2	0		0	0	20		0.12	-1.19	0		-4	-70	0		-2.35	-56.69	0		-1.65	-13.31	0
3.5	-0.2	0		0	0	20		0.19	-1.06	0		-4	-70	0		-5.66	-50.11	0		1.66	-19.89	0
3.5	-0.2	0		0	0	40		0.31	-2.38	-0.06		-8	-140	0		-8.31	-113.51	0		0.31	-26.49	0
3.5	-0.2	0		0	0	40		0.31	-2.44	-0.06		-8	-140	0		-8.13	-116.54	0		0.13	-23.46	0
3.5	-0.2	0		0	0	40		0.19	-1.81	-0.06		-8	-140	0		-4.1	-87.19	0		-3.9	-52.81	0
3.5	-0.2	0		0	0	60		0.5	-3.62	-0.06		-12	-210	0		-13.42	-172.73	0		1.42	-37.27	0
3.5	-0.2	0		0	0	60		0.44	-3.44	-0.12		-12	-210	0		-11.71	-164.76	0		-0.29	-45.24	0
3.5	-0.2	0		0	0	60		0.38	-3.31	-0.12		-12	-210	0		-9.14	-159.19	0		-2.86	-50.81	0
3.5	-0.2	0		0	0	80		0.56	-4.69	-0.12		-16	-280	0		-13.87	-224.48	0		-2.13	-55.52	0
3.5	-0.2	0		0	0	80		0.62	-4.69	-0.19		-16	-280	0		-17.49	-224.62	0		1.49	-55.38	0
3.5	-0.2	0		0	0	80		0.56	-4.62	-0.19		-16	-280	0		-14.73	-222.09	0		-1.27	-57.91	0
3.5	-0.2	0		0	0	100		0.75	-6.12	-0.25		-20	-350	0		-19.76	-294.09	0		-0.24	-55.91	0
3.5	-0.2	0		0	0	100		0.88	-6.19	-0.25		-20	-350	0		-25.46	-296.12	0		5.46	-53.88	0
3.5	-0.2	0		0	0	100		0.81	-6.56	-1		-20	-350	0		-29.5	-322.49	0		9.5	-27.51	0
3.5	-0.2	0		0	0	120		0.88	-7.44	-0.25		-24	-420	0		-21.74	-356.85	0		-2.26	-63.15	0
3.5	-0.2	0		0	0	120		0.94	-7.44	-0.25		-24	-420	0		-24.68	-356.35	0		0.68	-63.65	0
3.5	-0.2	0		0	0	120		0.94	-7.25	-0.25		-24	-420	0		-25.24	-347.24	0		1.24	-72.76	0
